"","type","Player","Turniej","Data","Position","Priority","Information","Kraj","Nawierzchnia","update"
"1","atp","Abdullah Shelbayh","Iasi",2024-07-08,"","1","MAIN DRAW","","",2024-07-05
"2","atp","Abdullah Shelbayh","Zug",2024-07-22,"","1","MAIN DRAW","","",2024-07-05
"3","atp","Adam Heinonen","Qual. Bacau",2024-07-22,"","1","QUALIFYING","","",2024-07-05
"4","atp","Adam Walton","Granby",2024-07-15,"","1","MAIN DRAW","","",2024-07-05
"5","atp","Adam Walton","Qual. Atlanta",2024-07-22,"","1","QUALIFYING","","",2024-07-05
"6","atp","Adit Sinha","Pittsford",2024-07-15,"","1","MAIN DRAW","","",2024-07-05
"7","atp","Adit Sinha","Qual. Urbana",2024-07-22,"","1","QUALIFYING","","",2024-07-05
"8","atp","Adolfo Daniel Vallejo","Iasi",2024-07-08,"","1","MAIN DRAW","","",2024-07-05
"9","atp","Adolfo Daniel Vallejo","Qual. Amersfoort",2024-07-15,"","1","QUALIFYING","","",2024-07-05
"10","atp","Adolfo Daniel Vallejo","Zug",2024-07-22,"","1","MAIN DRAW","","",2024-07-05
"11","atp","Adria Soriano Barrera","Qual. Pozoblanco",2024-07-15,"","1","QUALIFYING","","",2024-07-05
"12","atp","Adria Soriano Barrera","Qual. Segovia",2024-07-22,"","1","QUALIFYING","","",2024-07-05
"13","atp","Adrian Andreev","Trieste",2024-07-08,"","1","MAIN DRAW","","",2024-07-05
"14","atp","Adrian Andreev","Amersfoort",2024-07-15,"","1","MAIN DRAW","","",2024-07-05
"15","atp","Adrian Andreev","Verona",2024-07-22,"","1","MAIN DRAW","","",2024-07-05
"16","atp","Adrian Bodmer","Umag",2024-07-08,"","1","MAIN DRAW","","",2024-07-05
"17","atp","Adrian Bodmer","Slovenska Bistrica",2024-07-15,"","1","MAIN DRAW","","",2024-07-05
"18","atp","Adrian Mannarino","Newport",2024-07-15,"","1","MAIN DRAW","","",2024-07-05
"19","atp","Adrian Mannarino","Atlanta",2024-07-22,"","1","MAIN DRAW","","",2024-07-05
"20","atp","Adrian Mannarino","Washington",2024-07-29,"","1","MAIN DRAW","","",2024-07-05
"21","atp","Adrian Oetzbach","Qual. Salzburg",2024-07-08,"","1","QUALIFYING","","",2024-07-05
"22","atp","Adrian Oetzbach","Uslar",2024-07-15,"","1","MAIN DRAW","","",2024-07-05
"23","atp","Adrian Oetzbach","Qual. Tampere",2024-07-22,"","1","QUALIFYING","","",2024-07-05
"24","atp","Adrien Gobat","Qual. Denia",2024-07-22,"","1","QUALIFYING","","",2024-07-05
"25","atp","Aidan Mayo","Qual. Winnipeg",2024-07-08,"","1","QUALIFYING","","",2024-07-05
"26","atp","Aidan Mayo","Qual. Chicago",2024-07-22,"","1","QUALIFYING","","",2024-07-05
"27","atp","Aidan McHugh","Dallas",2024-07-08,"","1","MAIN DRAW","","",2024-07-05
"28","atp","Aidan McHugh","East Lansing",2024-07-15,"","1","MAIN DRAW","","",2024-07-05
"29","atp","Aidan McHugh","Astana",2024-07-22,"","1","MAIN DRAW","","",2024-07-05
"30","atp","Ajeet Rai","Nakhon Si Thammarat 5",2024-07-08,"","1","MAIN DRAW","","",2024-07-05
"31","atp","Ajeet Rai","Nakhon Si Thammarat 6",2024-07-15,"","1","MAIN DRAW","","",2024-07-05
"32","atp","Ajeet Rai","Qual. Urbana",2024-07-22,"","1","QUALIFYING","","",2024-07-05
"33","atp","Alafia Ayeni","Tianjin 3",2024-07-08,"","1","MAIN DRAW","","",2024-07-05
"34","atp","Alafia Ayeni","Astana",2024-07-15,"","1","MAIN DRAW","","",2024-07-05
"35","atp","Alafia Ayeni","Qual. Astana",2024-07-22,"","1","QUALIFYING","","",2024-07-05
"36","atp","Alan Fernando Rubio Fierros","Lakewood 2",2024-07-08,"","1","MAIN DRAW","","",2024-07-05
"37","atp","Alan Fernando Rubio Fierros","Qual. Huamantla 2",2024-07-22,"","1","QUALIFYING","","",2024-07-05
"38","atp","Alastair Gray","Nottingham 3",2024-07-08,"","1","MAIN DRAW","","",2024-07-05
"39","atp","Alastair Gray","Nottingham 4",2024-07-15,"","1","MAIN DRAW","","",2024-07-05
"40","atp","Alastair Gray","Segovia",2024-07-22,"","1","MAIN DRAW","","",2024-07-05
"41","atp","Albert Pedrico Kravtsov","Qual. Roda De Bara",2024-07-08,"","1","QUALIFYING","","",2024-07-05
"42","atp","Albert Ramos Viñolas","Iasi",2024-07-08,"","1","MAIN DRAW","","",2024-07-05
"43","atp","Albert Ramos Viñolas","Gstaad",2024-07-15,"","1","MAIN DRAW","","",2024-07-05
"44","atp","Albert Ramos Viñolas","Qual. Kitzbuhel",2024-07-22,"","1","QUALIFYING","","",2024-07-05
"45","atp","Alberto Barroso Campos","Roda De Bara",2024-07-08,"","1","MAIN DRAW","","",2024-07-05
"46","atp","Alberto Barroso Campos","Pozoblanco",2024-07-15,"","1","MAIN DRAW","","",2024-07-05
